iter	Passed	Remaining
0	0	76
1	1	71
2	2	68
3	2	63
4	3	62
5	3	61
6	4	60
7	5	63
8	6	65
9	7	66
10	8	67
11	9	67
12	9	66
13	10	67
14	11	67
15	12	67
16	13	65
17	14	65
18	15	64
19	16	64
20	16	63
21	17	62
22	18	61
23	19	61
24	20	60
25	21	60
26	21	59
27	22	58
28	23	57
29	24	57
30	25	56
31	26	56
32	27	55
33	28	54
34	29	53
35	29	53
36	30	52
37	31	51
38	32	50
39	33	49
40	34	49
41	34	47
42	35	46
43	36	46
44	36	45
45	37	44
46	38	43
47	39	42
48	40	42
49	41	41
50	42	40
51	42	39
52	43	38
53	44	37
54	45	36
55	45	35
56	46	35
57	47	34
58	49	34
59	50	33
60	51	32
61	52	32
62	53	31
63	54	30
64	55	29
65	56	29
66	57	28
67	58	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	23
73	63	22
74	64	21
75	64	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	72	12
85	73	11
86	73	11
87	74	10
88	75	9
89	76	8
90	77	7
91	78	6
92	79	5
93	79	5
94	80	4
95	81	3
96	82	2
97	82	1
98	83	0
99	84	0
